Product,Part Prefix,5k Pricing,Class B Safety Library,CPU,FPU,Architecture,CPU Speed Max MHz (megahertz),Program Memory size (KB),RAM KB (kilobyte),Data EEPROM (bytes),Direct Memory Access (DMA) Channels,ADC Channels,ADC Resolution (bits),Number of DACs,DAC Resolution (Bits),USB,Number of USB Modules,Number of Comparators,Motor Control PWM Outputs,Number of Op Amps,Low Power,QSPI,Quadrature Encoder Interface,Crypto Engine,Hardware Touch Peripheral,Type of CAN module,CAN/CAN-FD,Ethernet,Pincount,Packages,Vbat/Vddbu battery backup,Peripheral Pin Select / Pin Muxing,Auxiliary Flash (KB),External Memory Bus Interface,SDIO/SD-CARD/eMMC,Segmented LCD (# of segments),Graphics Controller/GPU
PIC32MX360F256L,PIC32MX,5.86,,32-bit MIPS MCU,No,32,80,256,32,0,4,16,10,0,0,None,0,2,0,0,No,0,0,No,,None,0,None,100,"100\TQFP,121\TFBGA",No,No,12,No,0,0,No
PIC32MX370F512H,PIC32MX,5.89,,32-bit MIPS MCU,No,32,120,512,128,0,4,28,10,0,0,None,0,2,0,0,No,0,0,No,None,None,0,None,64,"64\QFN,64\TQFP",No,Yes,12,No,0,0,No
PIC32MX360F512L,PIC32MX,6.07,No,32-bit MIPS MCU,No,32,80,512,32,0,4,16,10,0,0,None,0,2,0,0,No,0,0,No,None,None,0,None,100,"100\TQFP,121\TFBGA",No,No,12,No,0,0,No
PIC32MX440F128L,PIC32MX,6.07,,32-bit MIPS MCU,No,32,80,128,32,0,4,16,10,0,0,FS Device/Host/OTG,1,2,0,0,No,0,0,No,,None,0,None,100,"100\TQFP,121\TFBGA",No,No,12,No,0,0,No
PIC32MX470F512H,PIC32MX,6.07,,32-bit MIPS MCU,No,32,120,512,128,0,4,28,10,0,0,FS Device/Host/OTG,1,2,0,0,No,0,0,No,None,None,0,None,64,"64\QFN,64\TQFP",No,Yes,12,No,0,0,No
PIC32MX460F256L,PIC32MX,6.18,,32-bit MIPS MCU,No,32,80,256,32,0,4,16,10,0,0,FS Device/Host/OTG,1,2,0,0,No,0,0,No,,None,0,None,100,"100\TQFP,121\TFBGA",No,No,12,No,0,0,No
PIC32MX460F512L,PIC32MX,6.36,,32-bit MIPS MCU,No,32,80,512,32,0,4,16,10,0,0,FS Device/Host/OTG,1,2,0,0,No,0,0,No,,None,0,None,100,"100\TQFP,121\TFBGA",No,No,12,No,0,0,No
PIC32MX370F512L,PIC32MX,6.46,,32-bit MIPS MCU,No,32,120,512,128,0,4,28,10,0,0,None,0,2,0,0,No,0,0,No,None,None,0,None,100,100\TQFP,No,Yes,12,No,0,0,No
PIC32MX470F512L,PIC32MX,6.65,,32-bit MIPS MCU,No,32,120,512,128,0,4,28,10,0,0,FS Device/Host/OTG,1,2,0,0,No,0,0,No,None,None,0,None,100,100\TQFP,No,Yes,12,No,0,0,No
PIC32MX575F256H,PIC32MX,6.74,,32-bit MIPS MCU,No,32,80,256,64,0,8,16,10,0,0,FS Device/Host/OTG,1,2,0,0,No,0,0,No,,CAN,1,None,64,"64\QFN,64\TQFP",No,No,12,No,0,0,No
PIC32MX675F256H,PIC32MX,7.05,,32-bit MIPS MCU,No,32,80,256,64,0,8,16,10,0,0,FS Device/Host/OTG,1,2,0,0,No,0,0,No,,None,0,10/100 Base-TX Mac,64,"64\QFN,64\TQFP",No,No,12,No,0,0,No
PIC32MX775F256H,PIC32MX,7.36,No,32-bit MIPS MCU,No,32,80,256,64,0,8,16,10,0,0,FS Device/Host/OTG,1,2,0,0,No,0,0,No,None,CAN,2,10/100 Base-TX Mac,64,"64\QFN,64\TQFP",No,No,12,No,0,0,No
PIC32MX575F512H,PIC32MX,7.36,,32-bit MIPS MCU,No,32,80,512,128,0,8,16,10,0,0,FS Device/Host/OTG,1,2,0,0,No,0,0,No,,CAN,1,None,64,"64\QFN,64\TQFP",No,No,12,No,0,0,No
PIC32MX575F256L,PIC32MX,7.37,,32-bit MIPS MCU,No,32,80,256,64,0,8,16,10,0,0,FS Device/Host/OTG,1,2,0,0,No,0,0,No,,CAN,1,None,100,"100\TQFP,121\TFBGA",No,No,12,No,0,0,No
PIC32MX675F512H,PIC32MX,7.69,,32-bit MIPS MCU,No,32,80,512,128,0,8,16,10,0,0,FS Device/Host/OTG,1,2,0,0,No,0,0,No,,None,0,10/100 Base-TX Mac,64,"64\QFN,64\TQFP",No,No,12,No,0,0,No
PIC32MX675F256L,PIC32MX,7.7,,32-bit MIPS MCU,No,32,80,256,64,0,8,16,10,0,0,FS Device/Host/OTG,1,2,0,0,No,0,0,No,,None,0,10/100 Base-TX Mac,100,"100\TQFP,121\TFBGA",No,No,12,No,0,0,No
PIC32MX775F512H,PIC32MX,7.98,No,32-bit MIPS MCU,No,32,80,512,128,0,8,16,10,0,0,FS Device/Host/OTG,1,2,0,0,No,0,0,No,None,CAN,2,10/100 Base-TX Mac,64,"64\QFN,64\TQFP",No,No,12,No,0,0,No
PIC32MX775F256L,PIC32MX,7.99,,32-bit MIPS MCU,No,32,80,256,64,0,8,16,10,0,0,FS Device/Host/OTG,1,2,0,0,No,0,0,No,,CAN,2,10/100 Base-TX Mac,100,"100\TQFP,121\TFBGA",No,No,12,No,0,0,No
PIC32MX575F512L,PIC32MX,7.99,,32-bit MIPS MCU,No,32,80,512,128,0,8,28,10,0,0,FS Device/Host/OTG,1,3,0,0,No,0,0,No,,CAN,1,None,100,"100\TQFP,121\TFBGA",No,Yes,3,No,0,0,No
PIC32MX695F512H,PIC32MX,8.33,,32-bit MIPS MCU,No,32,80,512,128,0,8,16,10,0,0,FS Device/Host/OTG,1,2,0,0,No,0,0,No,,None,0,10/100 Base-TX Mac,64,"64\QFN,64\TQFP",No,No,12,No,0,0,No
PIC32MX675F512L,PIC32MX,8.33,,32-bit MIPS MCU,No,32,80,512,128,0,8,16,10,0,0,FS Device/Host/OTG,1,2,0,0,No,0,0,No,,None,0,10/100 Base-TX Mac,100,"100\TQFP,121\TFBGA",No,No,12,No,0,0,No
PIC32MX795F512H,PIC32MX,8.64,,32-bit MIPS MCU,No,32,80,512,128,0,8,16,10,0,0,FS Device/Host/OTG,1,2,0,0,No,0,0,No,,CAN,2,10/100 Base-TX Mac,64,"64\QFN,64\TQFP",No,No,12,No,0,0,No
PIC32MX775F512L,PIC32MX,8.64,,32-bit MIPS MCU,No,32,80,512,128,0,8,16,10,0,0,FS Device/Host/OTG,1,2,0,0,No,0,0,No,,CAN,2,10/100 Base-TX Mac,100,"100\TQFP,121\TFBGA",No,No,12,No,0,0,No
PIC32MX695F512L,PIC32MX,8.98,,32-bit MIPS MCU,No,32,80,512,128,0,8,16,10,0,0,FS Device/Host/OTG,1,2,0,0,No,0,0,No,,None,0,10/100 Base-TX Mac,100,"100\TQFP,121\TFBGA",No,No,12,No,0,0,No
PIC32MX795F512L,PIC32MX,9.27,No,32-bit MIPS MCU,No,32,80,512,128,0,8,16,10,0,0,FS Device/Host/OTG,1,2,0,0,No,0,0,No,None,CAN,2,10/100 Base-TX Mac,100,"100\TQFP,121\TFBGA",No,No,12,No,0,0,No
